SalesOrderLineKey,OrderDate,ShipDate,OrderTimeStamp,ProductKey,CustomerKey,GeographyKey,CanalKey,CanalVenta,PromocionKey,PromocionCodigo,Cantidad,UnitPrice,ImporteVenta,ImporteCosto,ShipAddressFull,InternalNotes,ETLLoadID
19,2024-09-29 13:26:51,2024-10-04 04:07:51,2024-09-29 13:26:51.000,50,187,30,3,Distribuidor,23,TEMPORADA,3,209.907837,579.35,484.17,9685 Calle Central Apt 136 - Ref 000019,Nota interna orden 000019: validacion logistica 860243 prioridad A lote 8470502e,ETL-20240929-000019
20,2023-12-09 22:15:37,2023-12-13 23:25:37,2023-12-09 22:15:37.000,54,2281,16,3,Distribuidor,17,OUTLET,5,347.127351,1648.85,1124.90,8177 Calle Central Apt 37 - Ref 000020,Nota interna orden 000020: validacion logistica 672190 prioridad B lote 667f8444,ETL-20231209-000020
21,2025-05-19 21:49:21,2025-05-22 02:51:21,2025-05-19 21:49:21.000,27,485,33,3,Distribuidor,20,CYBER,4,23.015206,84.70,65.28,8517 Calle Central Apt 87 - Ref 000021,Nota interna orden 000021: validacion logistica 464019 prioridad B lote 76de43e9,ETL-20250519-000021
22,2025-06-24 04:58:36,2025-06-26 15:08:36,2025-06-24 04:58:36.000,34,2468,19,1,Online,9,LOYALTY,5,1148.886304,5457.21,3740.06,3074 Calle Central Apt 990 - Ref 000022,Nota interna orden 000022: validacion logistica 193338 prioridad B lote 5ccd4458,ETL-20250624-000022
23,2024-10-21 10:32:50,2024-10-30 15:28:50,2024-10-21 10:32:50.000,68,238,27,4,Marketplace,21,LOYALTY,4,812.048048,3085.78,2562.13,1659 Calle Central Apt 292 - Ref 000023,Nota interna orden 000023: validacion logistica 269958 prioridad A lote fe009175,ETL-20241021-000023
24,2023-03-13 15:43:57,2023-03-21 09:49:57,2023-03-13 15:43:57.000,27,1369,31,5,Call Center,3,CYBER,8,23.393895,159.08,137.92,3746 Calle Central Apt 641 - Ref 000024,Nota interna orden 000024: validacion logistica 669932 prioridad C lote 34dda7bb,ETL-20230313-000024
25,2025-12-07 09:07:03,2025-12-12 11:25:03,2025-12-07 09:07:03.000,1,1145,21,2,Tienda Fisica,19,BLACKFRIDAY,4,1046.991399,3978.57,2904.07,6852 Calle Central Apt 698 - Ref 000025,Nota interna orden 000025: validacion logistica 172496 prioridad A lote b88fd75b,ETL-20251207-000025
26,2023-01-23 21:26:09,2023-01-30 17:46:09,2023-01-23 21:26:09.000,55,1686,4,2,Tienda Fisica,19,BLACKFRIDAY,2,251.981280,478.76,357.33,7906 Calle Central Apt 682 - Ref 000026,Nota interna orden 000026: validacion logistica 148462 prioridad B lote 14d67965,ETL-20230123-000026
27,2023-09-07 22:09:10,2023-09-12 02:32:10,2023-09-07 22:09:10.000,26,790,13,5,Call Center,5,OUTLET,6,685.419738,3619.02,2867.87,9433 Calle Central Apt 29 - Ref 000027,Nota interna orden 000027: validacion logistica 990160 prioridad A lote 48f84e68,ETL-20230907-000027
28,2023-11-29 19:03:20,2023-12-02 20:55:20,2023-11-29 19:03:20.000,9,223,24,3,Distribuidor,5,OUTLET,4,1359.128832,4784.13,3326.15,4287 Calle Central Apt 365 - Ref 000028,Nota interna orden 000028: validacion logistica 724654 prioridad A lote 03c38339,ETL-20231129-000028
29,2023-12-19 07:16:10,2023-12-22 21:04:10,2023-12-19 07:16:10.000,20,1529,7,4,Marketplace,16,LOYALTY,4,693.573870,2635.58,1734.52,912 Calle Central Apt 945 - Ref 000029,Nota interna orden 000029: validacion logistica 488960 prioridad B lote 6c0b835c,ETL-20231219-000029
30,2025-10-13 00:54:44,2025-10-22 14:48:44,2025-10-13 00:54:44.000,21,2170,16,2,Tienda Fisica,11,TEMPORADA,3,995.681518,2897.43,1702.91,3756 Calle Central Apt 935 - Ref 000030,Nota interna orden 000030: validacion logistica 687740 prioridad A lote d568e3ef,ETL-20251013-000030
31,2023-06-27 11:22:01,2023-07-05 01:16:01,2023-06-27 11:22:01.000,31,1250,5,5,Call Center,7,BLACKFRIDAY,3,1182.038106,3014.20,2194.30,4198 Calle Central Apt 584 - Ref 000031,Nota interna orden 000031: validacion logistica 245294 prioridad A lote 653d2215,ETL-20230627-000031
32,2025-02-13 18:15:22,2025-02-22 12:25:22,2025-02-13 18:15:22.000,42,1994,23,2,Tienda Fisica,23,TEMPORADA,1,1060.053748,975.25,672.00,9572 Calle Central Apt 784 - Ref 000032,Nota interna orden 000032: validacion logistica 631485 prioridad B lote 01e0ab48,ETL-20250213-000032
33,2023-06-02 18:02:49,2023-06-10 16:26:49,2023-06-02 18:02:49.000,43,2181,16,5,Call Center,22,OUTLET,4,139.166320,501.00,406.53,5702 Calle Central Apt 843 - Ref 000033,Nota interna orden 000033: validacion logistica 938790 prioridad C lote f78625ac,ETL-20230602-000033
34,2025-08-15 19:34:48,2025-08-23 18:29:48,2025-08-15 19:34:48.000,9,1852,34,4,Marketplace,13,SIN_PROMO,3,1342.290852,3624.19,2482.79,2682 Calle Central Apt 156 - Ref 000034,Nota interna orden 000034: validacion logistica 652287 prioridad B lote 8d30beaa,ETL-20250815-000034
35,2023-02-23 19:43:32,2023-03-05 12:05:32,2023-02-23 19:43:32.000,33,53,25,2,Tienda Fisica,4,LOYALTY,4,1033.054808,3512.39,2264.33,5537 Calle Central Apt 591 - Ref 000035,Nota interna orden 000035: validacion logistica 551509 prioridad B lote 1797f4cf,ETL-20230223-000035
36,2024-01-27 00:47:31,2024-02-02 04:59:31,2024-01-27 00:47:31.000,16,1571,5,2,Tienda Fisica,24,SIN_PROMO,7,717.276971,5020.94,3287.10,6973 Calle Central Apt 242 - Ref 000036,Nota interna orden 000036: validacion logistica 497373 prioridad C lote d2c94e41,ETL-20240127-000036
37,2023-01-28 15:32:14,2023-02-02 15:34:14,2023-01-28 15:32:14.000,65,935,33,3,Distribuidor,1,SIN_PROMO,1,435.755998,392.18,342.97,6429 Calle Central Apt 823 - Ref 000037,Nota interna orden 000037: validacion logistica 695103 prioridad B lote 89f52772,ETL-20230128-000037
38,2023-09-07 16:16:36,2023-09-09 07:09:36,2023-09-07 16:16:36.000,4,1370,27,1,Online,4,LOYALTY,5,1076.181607,4573.77,3590.07,6735 Calle Central Apt 293 - Ref 000038,Nota interna orden 000038: validacion logistica 936371 prioridad B lote 7da0ee41,ETL-20230907-000038
39,2024-08-14 10:08:56,2024-08-23 21:10:56,2024-08-14 10:08:56.000,63,1931,33,5,Call Center,19,BLACKFRIDAY,6,1073.776014,6120.52,4650.79,2084 Calle Central Apt 675 - Ref 000039,Nota interna orden 000039: validacion logistica 773927 prioridad B lote 03592efb,ETL-20240814-000039
40,2023-12-28 21:26:00,2023-12-31 15:42:00,2023-12-28 21:26:00.000,37,126,9,4,Marketplace,18,TEMPORADA,7,743.696082,4685.29,4120.39,3787 Calle Central Apt 392 - Ref 000040,Nota interna orden 000040: validacion logistica 208133 prioridad B lote c9f4a04e,ETL-20231228-000040
41,2025-04-27 12:45:08,2025-05-06 06:33:08,2025-04-27 12:45:08.000,34,245,1,4,Marketplace,5,OUTLET,2,1299.638887,2287.36,1490.59,7183 Calle Central Apt 385 - Ref 000041,Nota interna orden 000041: validacion logistica 390967 prioridad A lote e8bd3893,ETL-20250427-000041
42,2024-10-27 17:04:25,2024-11-05 06:52:25,2024-10-27 17:04:25.000,21,2009,26,3,Distribuidor,19,BLACKFRIDAY,8,1000.803697,7606.11,4524.94,947 Calle Central Apt 739 - Ref 000042,Nota interna orden 000042: validacion logistica 359695 prioridad B lote 271e03da,ETL-20241027-000042
43,2024-08-17 14:08:52,2024-08-24 02:54:52,2024-08-17 14:08:52.000,25,1520,4,3,Distribuidor,13,SIN_PROMO,3,434.137949,1172.17,1074.88,7379 Calle Central Apt 193 - Ref 000043,Nota interna orden 000043: validacion logistica 558470 prioridad A lote 3b12ef1c,ETL-20240817-000043
44,2024-02-13 09:46:16,2024-02-20 12:11:16,2024-02-13 09:46:16.000,37,1309,8,5,Call Center,24,SIN_PROMO,7,808.856591,5662.00,4424.90,8734 Calle Central Apt 540 - Ref 000044,Nota interna orden 000044: validacion logistica 376776 prioridad B lote 373ff246,ETL-20240213-000044
45,2023-10-25 04:22:41,2023-11-01 10:47:41,2023-10-25 04:22:41.000,32,852,4,5,Call Center,10,OUTLET,5,757.965417,3676.13,2045.89,2207 Calle Central Apt 729 - Ref 000045,Nota interna orden 000045: validacion logistica 717031 prioridad A lote ab02c4d1,ETL-20231025-000045
46,2025-07-23 08:08:59,2025-07-29 03:03:59,2025-07-23 08:08:59.000,40,1277,25,5,Call Center,23,TEMPORADA,1,391.298938,360.00,342.32,7459 Calle Central Apt 209 - Ref 000046,Nota interna orden 000046: validacion logistica 913031 prioridad C lote e25ad768,ETL-20250723-000046
47,2025-06-16 18:11:54,2025-06-22 07:39:54,2025-06-16 18:11:54.000,66,1523,27,3,Distribuidor,19,BLACKFRIDAY,1,545.262134,518.00,449.36,5295 Calle Central Apt 116 - Ref 000047,Nota interna orden 000047: validacion logistica 449131 prioridad A lote 3e42884d,ETL-20250616-000047
48,2024-01-26 02:52:55,2024-02-02 21:25:55,2024-01-26 02:52:55.000,23,893,26,2,Tienda Fisica,22,OUTLET,3,614.786107,1659.92,1173.66,5865 Calle Central Apt 490 - Ref 000048,Nota interna orden 000048: validacion logistica 903926 prioridad A lote f87186d1,ETL-20240126-000048
49,2024-07-18 20:11:37,2024-07-28 07:18:37,2024-07-18 20:11:37.000,64,1851,26,3,Distribuidor,19,BLACKFRIDAY,4,28.169967,107.05,93.26,5461 Calle Central Apt 341 - Ref 000049,Nota interna orden 000049: validacion logistica 867378 prioridad B lote 6fefadf6,ETL-20240718-000049
50,2024-06-11 21:24:25,2024-06-16 13:42:25,2024-06-11 21:24:25.000,30,327,33,1,Online,4,LOYALTY,4,1282.533300,4360.61,2813.29,8732 Calle Central Apt 89 - Ref 000050,Nota interna orden 000050: validacion logistica 944370 prioridad A lote 4533d27c,ETL-20240611-000050
51,2025-06-27 04:11:14,2025-06-30 09:22:14,2025-06-27 04:11:14.000,75,2430,23,5,Call Center,10,OUTLET,5,1106.008430,5364.14,3521.21,5596 Calle Central Apt 815 - Ref 000051,Nota interna orden 000051: validacion logistica 663452 prioridad B lote 654903ac,ETL-20250627-000051
52,2023-03-02 15:11:09,2023-03-08 14:23:09,2023-03-02 15:11:09.000,25,2221,2,2,Tienda Fisica,3,CYBER,3,445.740115,1136.64,1176.79,7434 Calle Central Apt 303 - Ref 000052,Nota interna orden 000052: validacion logistica 893481 prioridad A lote 997f86b6,ETL-20230302-000052
53,2023-07-03 17:32:47,2023-07-13 02:55:47,2023-07-03 17:32:47.000,10,710,20,1,Online,3,CYBER,4,339.185342,1153.23,826.18,8244 Calle Central Apt 242 - Ref 000053,Nota interna orden 000053: validacion logistica 697378 prioridad B lote 69d70e70,ETL-20230703-000053
54,2025-12-15 05:18:42,2025-12-21 09:59:42,2025-12-15 05:18:42.000,17,1367,8,4,Marketplace,1,SIN_PROMO,1,180.663141,162.60,139.35,6935 Calle Central Apt 601 - Ref 000054,Nota interna orden 000054: validacion logistica 546311 prioridad B lote 45c3a8d9,ETL-20251215-000054
55,2023-02-01 01:38:00,2023-02-08 11:45:00,2023-02-01 01:38:00.000,52,444,22,5,Call Center,16,LOYALTY,6,743.665979,4238.90,3246.71,9229 Calle Central Apt 541 - Ref 000055,Nota interna orden 000055: validacion logistica 699222 prioridad C lote cd1c9426,ETL-20230201-000055
56,2025-06-29 09:22:58,2025-07-01 21:05:58,2025-06-29 09:22:58.000,35,643,15,2,Tienda Fisica,12,SIN_PROMO,3,1153.098225,3113.37,2530.83,5476 Calle Central Apt 585 - Ref 000056,Nota interna orden 000056: validacion logistica 225583 prioridad C lote e019dfcf,ETL-20250629-000056
57,2024-01-12 14:21:02,2024-01-16 21:26:02,2024-01-12 14:21:02.000,77,1129,19,4,Marketplace,19,BLACKFRIDAY,6,771.030993,4394.88,2962.39,3113 Calle Central Apt 411 - Ref 000057,Nota interna orden 000057: validacion logistica 556288 prioridad A lote acda88fb,ETL-20240112-000057
58,2024-11-26 06:33:13,2024-12-05 19:33:13,2024-11-26 06:33:13.000,71,758,25,4,Marketplace,17,OUTLET,3,471.148931,1342.77,1120.37,7254 Calle Central Apt 121 - Ref 000058,Nota interna orden 000058: validacion logistica 925289 prioridad A lote da859b12,ETL-20241126-000058
59,2025-09-13 14:01:48,2025-09-21 06:28:48,2025-09-13 14:01:48.000,74,1369,31,5,Call Center,16,LOYALTY,6,179.350069,1022.30,701.95,8739 Calle Central Apt 496 - Ref 000059,Nota interna orden 000059: validacion logistica 380039 prioridad C lote 4453273f,ETL-20250913-000059
60,2025-01-14 03:06:34,2025-01-18 16:22:34,2025-01-14 03:06:34.000,43,906,5,4,Marketplace,13,SIN_PROMO,8,124.986782,899.90,891.04,1691 Calle Central Apt 274 - Ref 000060,Nota interna orden 000060: validacion logistica 131601 prioridad C lote 60459ffd,ETL-20250114-000060
61,2025-06-26 22:18:15,2025-06-29 21:36:15,2025-06-26 22:18:15.000,36,2494,32,4,Marketplace,19,BLACKFRIDAY,3,269.330729,767.59,477.59,2845 Calle Central Apt 302 - Ref 000061,Nota interna orden 000061: validacion logistica 563901 prioridad A lote 1f2475ab,ETL-20250626-000061
62,2025-06-21 01:21:37,2025-06-25 22:52:37,2025-06-21 01:21:37.000,70,1141,19,2,Tienda Fisica,13,SIN_PROMO,1,449.226430,404.30,317.58,3498 Calle Central Apt 885 - Ref 000062,Nota interna orden 000062: validacion logistica 680800 prioridad A lote e2c61d7b,ETL-20250621-000062
63,2023-02-17 03:47:25,2023-02-21 06:33:25,2023-02-17 03:47:25.000,2,108,26,1,Online,7,BLACKFRIDAY,4,588.286775,2000.18,1573.31,3539 Calle Central Apt 456 - Ref 000063,Nota interna orden 000063: validacion logistica 601635 prioridad C lote 00da2929,ETL-20230217-000063
64,2025-12-16 14:32:08,2025-12-24 12:10:08,2025-12-16 14:32:08.000,32,948,4,5,Call Center,4,LOYALTY,8,716.347307,4871.16,3354.08,1859 Calle Central Apt 225 - Ref 000064,Nota interna orden 000064: validacion logistica 663262 prioridad C lote f035fcad,ETL-20251216-000064
65,2023-11-26 12:55:51,2023-11-30 00:37:51,2023-11-26 12:55:51.000,25,1974,32,1,Online,8,CYBER,1,529.749550,529.75,383.50,1723 Calle Central Apt 985 - Ref 000065,Nota interna orden 000065: validacion logistica 516365 prioridad A lote 6b2cd7ee,ETL-20231126-000065
66,2023-05-02 21:59:28,2023-05-12 07:51:28,2023-05-02 21:59:28.000,16,1283,10,2,Tienda Fisica,5,OUTLET,5,640.436995,2817.92,2318.16,7983 Calle Central Apt 328 - Ref 000066,Nota interna orden 000066: validacion logistica 664739 prioridad B lote 7895dd83,ETL-20230502-000066
67,2024-10-13 22:17:00,2024-10-22 00:29:00,2024-10-13 22:17:00.000,47,1274,27,2,Tienda Fisica,9,LOYALTY,6,424.021509,2416.92,2201.71,5538 Calle Central Apt 610 - Ref 000067,Nota interna orden 000067: validacion logistica 975303 prioridad A lote 9d9985de,ETL-20241013-000067
68,2025-08-29 19:51:14,2025-08-31 18:40:14,2025-08-29 19:51:14.000,17,575,22,1,Online,11,TEMPORADA,4,196.322485,761.73,564.55,6765 Calle Central Apt 242 - Ref 000068,Nota interna orden 000068: validacion logistica 353586 prioridad B lote 12a968a0,ETL-20250829-000068
69,2024-08-10 00:36:46,2024-08-12 06:50:46,2024-08-10 00:36:46.000,8,1411,24,1,Online,10,OUTLET,8,550.492876,4271.82,2820.67,4744 Calle Central Apt 911 - Ref 000069,Nota interna orden 000069: validacion logistica 501929 prioridad A lote 2dfd8c20,ETL-20240810-000069
70,2025-03-25 07:43:18,2025-04-01 23:03:18,2025-03-25 07:43:18.000,60,857,1,1,Online,23,TEMPORADA,1,311.748528,286.81,187.14,3135 Calle Central Apt 359 - Ref 000070,Nota interna orden 000070: validacion logistica 892688 prioridad B lote cc09dbfe,ETL-20250325-000070
71,2024-02-08 02:28:29,2024-02-11 03:57:29,2024-02-08 02:28:29.000,45,249,4,4,Marketplace,20,CYBER,6,1120.339928,6184.28,4306.97,7004 Calle Central Apt 665 - Ref 000071,Nota interna orden 000071: validacion logistica 689705 prioridad C lote 78e4754d,ETL-20240208-000071
72,2025-07-08 19:31:13,2025-07-11 04:53:13,2025-07-08 19:31:13.000,68,2082,8,2,Tienda Fisica,20,CYBER,7,724.261395,4664.24,4867.13,144 Calle Central Apt 107 - Ref 000072,Nota interna orden 000072: validacion logistica 676451 prioridad B lote c8340da9,ETL-20250708-000072
73,2024-08-03 20:40:40,2024-08-13 11:05:40,2024-08-03 20:40:40.000,10,1768,33,3,Distribuidor,23,TEMPORADA,2,268.643159,494.30,387.68,3884 Calle Central Apt 409 - Ref 000073,Nota interna orden 000073: validacion logistica 762934 prioridad A lote b2e92cc7,ETL-20240803-000073
74,2025-01-19 11:22:19,2025-01-28 03:05:19,2025-01-19 11:22:19.000,62,1980,14,5,Call Center,21,LOYALTY,4,206.601479,785.09,648.89,3320 Calle Central Apt 508 - Ref 000074,Nota interna orden 000074: validacion logistica 180173 prioridad A lote 54ee9d46,ETL-20250119-000074
75,2023-05-24 23:12:10,2023-05-29 02:01:10,2023-05-24 23:12:10.000,44,2259,16,2,Tienda Fisica,20,CYBER,3,1040.391269,2871.48,2125.26,255 Calle Central Apt 765 - Ref 000075,Nota interna orden 000075: validacion logistica 883813 prioridad A lote 9baae3a4,ETL-20230524-000075
76,2023-11-03 17:57:29,2023-11-08 13:25:29,2023-11-03 17:57:29.000,6,735,30,5,Call Center,20,CYBER,3,1035.358850,2857.59,2382.81,9844 Calle Central Apt 866 - Ref 000076,Nota interna orden 000076: validacion logistica 220387 prioridad B lote 4f43e5cf,ETL-20231103-000076
77,2023-02-18 11:03:36,2023-02-28 01:45:36,2023-02-18 11:03:36.000,30,178,20,2,Tienda Fisica,10,OUTLET,3,1233.465264,3589.38,2275.50,7245 Calle Central Apt 480 - Ref 000077,Nota interna orden 000077: validacion logistica 250729 prioridad A lote 90c01022,ETL-20230218-000077
78,2025-12-01 09:35:42,2025-12-09 02:15:42,2025-12-01 09:35:42.000,43,1564,30,3,Distribuidor,4,LOYALTY,6,138.758484,707.67,630.70,1179 Calle Central Apt 712 - Ref 000078,Nota interna orden 000078: validacion logistica 306446 prioridad A lote dfba7e56,ETL-20251201-000078
79,2024-04-08 14:36:35,2024-04-15 17:30:35,2024-04-08 14:36:35.000,17,1084,16,5,Call Center,15,CYBER,7,201.397348,1409.78,943.28,365 Calle Central Apt 872 - Ref 000079,Nota interna orden 000079: validacion logistica 739866 prioridad A lote 24eceb9a,ETL-20240408-000079
80,2025-03-24 08:35:01,2025-03-30 01:12:01,2025-03-24 08:35:01.000,61,1951,31,1,Online,8,CYBER,2,702.046820,1404.09,906.47,4870 Calle Central Apt 475 - Ref 000080,Nota interna orden 000080: validacion logistica 788831 prioridad C lote a169cc3e,ETL-20250324-000080
81,2024-11-16 12:53:13,2024-11-25 08:40:13,2024-11-16 12:53:13.000,42,2157,19,3,Distribuidor,3,CYBER,3,1113.036540,2838.24,2163.07,9535 Calle Central Apt 607 - Ref 000081,Nota interna orden 000081: validacion logistica 160191 prioridad C lote 8e740670,ETL-20241116-000081
82,2025-06-08 20:11:46,2025-06-13 18:42:46,2025-06-08 20:11:46.000,6,1319,34,5,Call Center,6,TEMPORADA,8,1043.158512,7677.65,6353.75,6013 Calle Central Apt 277 - Ref 000082,Nota interna orden 000082: validacion logistica 608008 prioridad B lote c70cad48,ETL-20250608-000082
83,2025-12-26 02:06:48,2026-01-02 14:59:48,2025-12-26 02:06:48.000,47,832,32,4,Marketplace,10,OUTLET,6,393.031566,2287.44,2164.75,150 Calle Central Apt 69 - Ref 000083,Nota interna orden 000083: validacion logistica 209855 prioridad C lote 4791b09d,ETL-20251226-000083
84,2024-07-01 19:37:07,2024-07-03 06:52:07,2024-07-01 19:37:07.000,42,202,33,5,Call Center,3,CYBER,5,975.516579,4145.95,3565.06,7944 Calle Central Apt 165 - Ref 000084,Nota interna orden 000084: validacion logistica 911119 prioridad A lote d5fd5f1a,ETL-20240701-000084
85,2023-02-13 19:58:15,2023-02-15 16:49:15,2023-02-13 19:58:15.000,78,649,18,4,Marketplace,22,OUTLET,2,1124.384913,2023.89,1264.03,8221 Calle Central Apt 145 - Ref 000085,Nota interna orden 000085: validacion logistica 590558 prioridad B lote 2825ad41,ETL-20230213-000085
86,2024-10-13 12:17:12,2024-10-17 04:32:12,2024-10-13 12:17:12.000,26,1648,5,2,Tienda Fisica,22,OUTLET,5,728.060528,3276.27,2465.83,868 Calle Central Apt 285 - Ref 000086,Nota interna orden 000086: validacion logistica 113243 prioridad C lote 3b365e0d,ETL-20241013-000086
87,2024-12-12 16:29:35,2024-12-14 14:41:35,2024-12-12 16:29:35.000,1,888,12,4,Marketplace,15,CYBER,1,888.288648,888.29,701.47,2364 Calle Central Apt 830 - Ref 000087,Nota interna orden 000087: validacion logistica 741139 prioridad C lote 18b3740b,ETL-20241212-000087
88,2023-02-18 07:12:33,2023-02-24 02:27:33,2023-02-18 07:12:33.000,51,614,23,5,Call Center,13,SIN_PROMO,2,771.045106,1387.88,1196.36,4469 Calle Central Apt 591 - Ref 000088,Nota interna orden 000088: validacion logistica 544248 prioridad B lote 395a2e8b,ETL-20230218-000088
89,2024-08-18 08:46:32,2024-08-23 01:53:32,2024-08-18 08:46:32.000,27,121,7,2,Tienda Fisica,7,BLACKFRIDAY,2,23.608981,40.14,32.32,5552 Calle Central Apt 348 - Ref 000089,Nota interna orden 000089: validacion logistica 242493 prioridad C lote cdf8d706,ETL-20240818-000089
90,2024-06-11 06:04:23,2024-06-15 04:35:23,2024-06-11 06:04:23.000,34,1394,27,1,Online,20,CYBER,6,1257.834009,6943.24,4482.75,7141 Calle Central Apt 798 - Ref 000090,Nota interna orden 000090: validacion logistica 249675 prioridad A lote a19ae3e7,ETL-20240611-000090
