CustomerKey,CustomerName,CustomerSegment,GeographyKey,EmailDomain,BirthYear
52,Andres Martinez 0052,Corporativo,7,cliente.co,1989
53,Maria Castro 0053,Gobierno,25,contoso.com,1984
54,Laura Rojas 0054,Pyme,13,empresa.com,1981
55,Isabella Morales 0055,Educacion,31,empresa.com,1985
56,Maria Gomez 0056,Pyme,4,empresa.com,1998
57,Diego Lopez 0057,Retail,24,cliente.co,2002
58,Andres Ramirez 0058,Pyme,29,fabrikam.com,1998
59,Jorge Ramirez 0059,Gobierno,8,gmail.com,1961
60,Pedro Ramirez 0060,Educacion,18,empresa.com,1998
61,Diego Ramirez 0061,Educacion,28,outlook.com,1981
62,Pedro Sanchez 0062,Gobierno,27,outlook.com,2002
63,Sofia Perez 0063,Retail,18,gmail.com,1984
64,Isabella Sanchez 0064,Retail,24,cliente.co,1965
65,Laura Garcia 0065,Corporativo,26,gmail.com,1985
66,Diego Vargas 0066,Corporativo,24,cliente.co,1993
67,Camila Garcia 0067,Educacion,1,cliente.co,1990
68,Laura Garcia 0068,Educacion,2,empresa.com,1995
69,Isabella Martinez 0069,Gobierno,27,cliente.co,1980
70,Camila Lopez 0070,Gobierno,2,fabrikam.com,2003
71,Carlos Vargas 0071,Educacion,22,gmail.com,2002
72,Jorge Vargas 0072,Retail,15,contoso.com,1983
73,Daniela Ramirez 0073,Corporativo,23,fabrikam.com,1978
74,Valentina Rodriguez 0074,Gobierno,18,fabrikam.com,1988
75,Jorge Diaz 0075,Educacion,32,fabrikam.com,1971
76,Juan Torres 0076,Gobierno,31,contoso.com,1986
77,Isabella Vargas 0077,Pyme,17,cliente.co,1993
78,Miguel Vargas 0078,Retail,32,cliente.co,1973
79,Diego Castro 0079,Gobierno,22,empresa.com,1979
80,Andres Torres 0080,Gobierno,33,cliente.co,1965
81,Valentina Ramirez 0081,Educacion,29,fabrikam.com,1970
82,Felipe Garcia 0082,Gobierno,5,gmail.com,1980
83,Carlos Rojas 0083,Corporativo,11,gmail.com,1995
84,Carlos Perez 0084,Gobierno,7,contoso.com,1985
85,Felipe Rojas 0085,Gobierno,17,gmail.com,1965
86,Ana Vargas 0086,Retail,32,contoso.com,1982
87,Camila Vargas 0087,Corporativo,8,fabrikam.com,1961
88,Pedro Perez 0088,Educacion,20,cliente.co,1970
89,Ana Ramirez 0089,Pyme,16,gmail.com,1979
90,Andres Ramirez 0090,Educacion,24,empresa.com,1962
91,Pedro Gomez 0091,Gobierno,14,contoso.com,1970
92,Isabella Morales 0092,Retail,29,empresa.com,1979
93,Andres Martinez 0093,Retail,20,outlook.com,1991
94,Daniela Vargas 0094,Corporativo,19,gmail.com,1977
95,Valentina Vargas 0095,Pyme,1,empresa.com,2000
96,Valentina Sanchez 0096,Pyme,29,contoso.com,1977
97,Diego Torres 0097,Pyme,12,empresa.com,1969
98,Camila Lopez 0098,Educacion,9,empresa.com,1966
99,Valentina Ramirez 0099,Retail,23,empresa.com,1982
100,Laura Garcia 0100,Gobierno,15,contoso.com,1970
101,Pedro Castro 0101,Educacion,17,outlook.com,1993
102,Andres Castro 0102,Gobierno,18,fabrikam.com,1977
103,Camila Torres 0103,Gobierno,3,fabrikam.com,1978
104,Carlos Diaz 0104,Gobierno,32,outlook.com,1960
105,Camila Vargas 0105,Educacion,3,outlook.com,1969
106,Maria Vargas 0106,Corporativo,26,contoso.com,1986
107,Daniela Ramirez 0107,Corporativo,18,empresa.com,1993
108,Valentina Martinez 0108,Pyme,26,outlook.com,1992
109,Laura Rodriguez 0109,Retail,29,fabrikam.com,1969
110,Maria Vargas 0110,Pyme,6,gmail.com,1968
111,Laura Gomez 0111,Corporativo,30,empresa.com,1992
112,Juan Sanchez 0112,Corporativo,28,contoso.com,1974
113,Pedro Vargas 0113,Retail,17,gmail.com,1993
114,Daniela Perez 0114,Gobierno,25,contoso.com,1965
115,Isabella Garcia 0115,Pyme,5,cliente.co,1987
116,Sofia Castro 0116,Pyme,17,contoso.com,2002
117,Diego Sanchez 0117,Pyme,19,outlook.com,1961
118,Maria Ramirez 0118,Gobierno,17,gmail.com,1984
119,Jorge Perez 0119,Gobierno,11,empresa.com,1960
120,Miguel Diaz 0120,Corporativo,24,cliente.co,1984
121,Juan Ramirez 0121,Gobierno,7,outlook.com,1972
122,Camila Lopez 0122,Retail,8,gmail.com,1994
123,Camila Perez 0123,Pyme,15,cliente.co,1967
124,Juan Rodriguez 0124,Corporativo,6,contoso.com,1999
125,Carlos Perez 0125,Gobierno,29,fabrikam.com,2003
126,Jorge Perez 0126,Educacion,9,empresa.com,1978
127,Carlos Garcia 0127,Gobierno,23,cliente.co,1993
128,Miguel Lopez 0128,Gobierno,13,fabrikam.com,1981
129,Juan Perez 0129,Educacion,33,cliente.co,1984
130,Miguel Gomez 0130,Corporativo,11,contoso.com,1992
131,Valentina Perez 0131,Educacion,16,contoso.com,1969
132,Daniela Gomez 0132,Pyme,25,contoso.com,1982
133,Carlos Castro 0133,Educacion,33,contoso.com,1990
134,Sofia Torres 0134,Corporativo,9,empresa.com,1993
135,Camila Ramirez 0135,Educacion,7,outlook.com,1969
136,Sofia Rojas 0136,Corporativo,23,gmail.com,1995
137,Isabella Martinez 0137,Retail,8,contoso.com,1996
138,Maria Castro 0138,Gobierno,28,fabrikam.com,1994
139,Isabella Gomez 0139,Educacion,29,outlook.com,1990
140,Felipe Garcia 0140,Retail,12,outlook.com,2003
141,Daniela Lopez 0141,Pyme,18,empresa.com,1982
142,Daniela Sanchez 0142,Educacion,4,gmail.com,1985
143,Maria Martinez 0143,Retail,15,contoso.com,1984
144,Juan Lopez 0144,Pyme,16,gmail.com,1963
145,Jorge Torres 0145,Retail,17,cliente.co,1978
146,Diego Rojas 0146,Retail,32,contoso.com,1960
147,Valentina Rodriguez 0147,Gobierno,18,fabrikam.com,1980
148,Daniela Gomez 0148,Retail,30,cliente.co,1994
149,Jorge Rodriguez 0149,Corporativo,22,cliente.co,1978
150,Pedro Rodriguez 0150,Corporativo,12,fabrikam.com,1967
151,Daniela Ramirez 0151,Educacion,28,outlook.com,1961
152,Diego Martinez 0152,Corporativo,5,gmail.com,2002
153,Sofia Sanchez 0153,Pyme,24,contoso.com,2000
154,Pedro Martinez 0154,Corporativo,26,gmail.com,1987
155,Juan Rodriguez 0155,Pyme,1,outlook.com,1963
156,Jorge Rodriguez 0156,Corporativo,3,empresa.com,1963
157,Ana Perez 0157,Pyme,20,contoso.com,1978
158,Daniela Garcia 0158,Retail,31,fabrikam.com,1968
159,Valentina Garcia 0159,Pyme,27,outlook.com,1972
160,Sofia Diaz 0160,Pyme,8,cliente.co,1960
161,Miguel Garcia 0161,Retail,3,cliente.co,2001
162,Camila Martinez 0162,Corporativo,16,cliente.co,1982
163,Laura Sanchez 0163,Pyme,21,empresa.com,1971
164,Maria Morales 0164,Pyme,14,empresa.com,2001
165,Miguel Castro 0165,Retail,1,gmail.com,2002
166,Laura Ramirez 0166,Corporativo,4,fabrikam.com,1968
167,Carlos Rodriguez 0167,Corporativo,22,gmail.com,1974
168,Ana Gomez 0168,Retail,15,empresa.com,1998
169,Isabella Torres 0169,Gobierno,21,fabrikam.com,1986
170,Juan Sanchez 0170,Pyme,20,empresa.com,1995
171,Isabella Gomez 0171,Retail,21,outlook.com,1967
172,Juan Rojas 0172,Retail,31,empresa.com,1989
173,Jorge Torres 0173,Gobierno,30,contoso.com,1978
174,Camila Perez 0174,Gobierno,3,cliente.co,1960
175,Daniela Rodriguez 0175,Corporativo,13,empresa.com,1967
176,Felipe Diaz 0176,Pyme,18,outlook.com,1964
177,Andres Torres 0177,Retail,32,gmail.com,1969
178,Laura Ramirez 0178,Retail,20,empresa.com,1970
179,Miguel Diaz 0179,Pyme,3,cliente.co,1974
180,Carlos Sanchez 0180,Gobierno,2,gmail.com,1976
181,Pedro Ramirez 0181,Pyme,7,fabrikam.com,1985
182,Andres Castro 0182,Educacion,29,outlook.com,1999
183,Pedro Gomez 0183,Gobierno,34,gmail.com,1982
184,Camila Torres 0184,Pyme,23,gmail.com,1984
185,Laura Diaz 0185,Pyme,3,gmail.com,1982
186,Ana Torres 0186,Retail,18,outlook.com,1971
187,Laura Vargas 0187,Corporativo,30,outlook.com,1972
188,Laura Martinez 0188,Pyme,7,contoso.com,1971
189,Maria Gomez 0189,Retail,26,empresa.com,1986
190,Maria Rodriguez 0190,Educacion,30,fabrikam.com,1998
191,Camila Martinez 0191,Gobierno,8,cliente.co,1988
192,Juan Perez 0192,Pyme,15,contoso.com,1993
193,Ana Castro 0193,Retail,17,contoso.com,1965
194,Felipe Rodriguez 0194,Retail,6,cliente.co,2001
195,Andres Garcia 0195,Educacion,1,cliente.co,1963
196,Jorge Morales 0196,Gobierno,12,empresa.com,1991
197,Miguel Sanchez 0197,Pyme,21,empresa.com,1991
198,Felipe Sanchez 0198,Educacion,28,fabrikam.com,1980
199,Daniela Martinez 0199,Educacion,2,cliente.co,1963
200,Valentina Rojas 0200,Gobierno,12,fabrikam.com,1992
201,Maria Morales 0201,Pyme,6,gmail.com,1985
202,Andres Ramirez 0202,Educacion,33,empresa.com,1998
203,Diego Sanchez 0203,Pyme,15,cliente.co,1996
204,Diego Morales 0204,Pyme,18,gmail.com,1973
205,Daniela Lopez 0205,Educacion,14,empresa.com,1985
206,Juan Morales 0206,Corporativo,2,contoso.com,1976
207,Pedro Gomez 0207,Retail,26,fabrikam.com,1966
208,Isabella Perez 0208,Pyme,23,empresa.com,1994
209,Valentina Torres 0209,Educacion,4,empresa.com,1985
210,Jorge Morales 0210,Corporativo,33,cliente.co,1982
211,Juan Vargas 0211,Retail,3,gmail.com,1984
212,Sofia Martinez 0212,Retail,23,contoso.com,2002
213,Ana Morales 0213,Pyme,5,fabrikam.com,2003
214,Maria Martinez 0214,Gobierno,4,gmail.com,1966
215,Jorge Gomez 0215,Corporativo,21,cliente.co,2003
216,Pedro Rojas 0216,Gobierno,15,contoso.com,1981
217,Miguel Castro 0217,Educacion,4,contoso.com,1963
218,Sofia Ramirez 0218,Corporativo,21,contoso.com,1974
219,Diego Torres 0219,Educacion,3,cliente.co,1962
220,Diego Garcia 0220,Retail,19,empresa.com,1989
221,Andres Vargas 0221,Corporativo,20,gmail.com,1990
222,Sofia Diaz 0222,Retail,30,fabrikam.com,1972
223,Juan Diaz 0223,Pyme,24,outlook.com,1960
224,Andres Ramirez 0224,Retail,34,fabrikam.com,1986
225,Carlos Perez 0225,Gobierno,11,fabrikam.com,2000
226,Jorge Diaz 0226,Gobierno,13,outlook.com,1999
227,Carlos Sanchez 0227,Corporativo,9,gmail.com,1978
228,Valentina Rojas 0228,Retail,23,gmail.com,2003
229,Miguel Rojas 0229,Gobierno,12,outlook.com,1997
230,Jorge Rojas 0230,Gobierno,30,empresa.com,1969
231,Valentina Ramirez 0231,Gobierno,10,fabrikam.com,1960
232,Sofia Lopez 0232,Educacion,16,cliente.co,2002
233,Felipe Morales 0233,Corporativo,17,empresa.com,1977
234,Carlos Rojas 0234,Gobierno,31,empresa.com,1973
235,Isabella Garcia 0235,Retail,27,contoso.com,2003
236,Valentina Gomez 0236,Educacion,30,contoso.com,1984
237,Felipe Castro 0237,Retail,20,fabrikam.com,1987
238,Miguel Castro 0238,Educacion,27,outlook.com,1984
239,Juan Rodriguez 0239,Corporativo,11,cliente.co,1992
240,Camila Martinez 0240,Gobierno,19,cliente.co,1963
241,Juan Garcia 0241,Pyme,7,fabrikam.com,1979
242,Camila Vargas 0242,Corporativo,26,contoso.com,1985
243,Andres Garcia 0243,Pyme,17,fabrikam.com,1995
244,Daniela Martinez 0244,Retail,4,outlook.com,1994
245,Isabella Castro 0245,Gobierno,1,contoso.com,1967
246,Valentina Lopez 0246,Gobierno,27,cliente.co,1991
247,Valentina Morales 0247,Pyme,23,empresa.com,1977
248,Andres Vargas 0248,Educacion,31,gmail.com,1971
249,Felipe Ramirez 0249,Educacion,4,fabrikam.com,1992
250,Sofia Martinez 0250,Pyme,2,empresa.com,1994
251,Andres Vargas 0251,Educacion,16,cliente.co,1981
252,Jorge Ramirez 0252,Retail,6,gmail.com,2000
253,Andres Gomez 0253,Pyme,34,cliente.co,1964
254,Maria Gomez 0254,Pyme,10,fabrikam.com,2001
255,Daniela Rojas 0255,Retail,8,contoso.com,1984
256,Camila Lopez 0256,Retail,8,outlook.com,2000
257,Jorge Lopez 0257,Gobierno,29,contoso.com,2002
258,Ana Rojas 0258,Corporativo,13,fabrikam.com,1960
259,Ana Lopez 0259,Corporativo,11,contoso.com,1966
260,Daniela Sanchez 0260,Educacion,1,gmail.com,1981
261,Daniela Diaz 0261,Retail,24,fabrikam.com,1970
262,Jorge Lopez 0262,Educacion,13,contoso.com,1979
263,Isabella Garcia 0263,Gobierno,27,fabrikam.com,2002
264,Isabella Garcia 0264,Retail,33,fabrikam.com,1965
265,Camila Lopez 0265,Corporativo,34,contoso.com,1995
266,Valentina Castro 0266,Corporativo,17,gmail.com,1977
267,Andres Sanchez 0267,Pyme,9,cliente.co,1970
268,Jorge Perez 0268,Pyme,15,gmail.com,1962
269,Sofia Castro 0269,Retail,33,fabrikam.com,1965
270,Miguel Sanchez 0270,Pyme,4,empresa.com,1988
271,Andres Sanchez 0271,Educacion,11,gmail.com,1962
272,Laura Vargas 0272,Corporativo,5,outlook.com,1960
273,Camila Sanchez 0273,Retail,17,cliente.co,1963
274,Isabella Sanchez 0274,Corporativo,17,fabrikam.com,1995
275,Camila Castro 0275,Pyme,8,outlook.com,1989
276,Ana Lopez 0276,Pyme,15,fabrikam.com,1966
277,Laura Diaz 0277,Pyme,28,cliente.co,1974
278,Camila Rodriguez 0278,Gobierno,7,cliente.co,1973
279,Carlos Rojas 0279,Gobierno,34,fabrikam.com,1960
280,Pedro Perez 0280,Educacion,18,empresa.com,1963
281,Maria Rojas 0281,Pyme,8,cliente.co,1984
282,Laura Castro 0282,Pyme,24,gmail.com,1974
283,Sofia Garcia 0283,Pyme,3,cliente.co,1972
284,Andres Rojas 0284,Pyme,20,outlook.com,2001
285,Juan Rojas 0285,Retail,9,empresa.com,1989
286,Camila Castro 0286,Educacion,27,fabrikam.com,1992
287,Andres Diaz 0287,Gobierno,11,empresa.com,1963
288,Jorge Torres 0288,Educacion,9,fabrikam.com,2002
289,Maria Rodriguez 0289,Retail,33,fabrikam.com,1965
290,Sofia Ramirez 0290,Pyme,16,gmail.com,1978
291,Miguel Lopez 0291,Educacion,25,outlook.com,1971
292,Pedro Gomez 0292,Corporativo,22,cliente.co,1972
293,Miguel Torres 0293,Educacion,29,empresa.com,1982
294,Sofia Gomez 0294,Retail,7,outlook.com,2003
295,Felipe Rodriguez 0295,Gobierno,2,fabrikam.com,1973
296,Daniela Torres 0296,Corporativo,10,outlook.com,1988
297,Jorge Vargas 0297,Educacion,28,outlook.com,1963
298,Jorge Morales 0298,Corporativo,13,empresa.com,2001
299,Camila Martinez 0299,Pyme,21,contoso.com,1988
300,Juan Rojas 0300,Corporativo,30,fabrikam.com,1992
301,Maria Rodriguez 0301,Educacion,5,outlook.com,1960
302,Camila Rojas 0302,Gobierno,22,gmail.com,1994
303,Maria Martinez 0303,Educacion,1,outlook.com,1980
304,Camila Rodriguez 0304,Pyme,32,gmail.com,1982
305,Laura Rodriguez 0305,Educacion,26,empresa.com,1991
306,Ana Morales 0306,Pyme,32,gmail.com,1964
307,Carlos Castro 0307,Gobierno,22,gmail.com,2001
308,Camila Morales 0308,Educacion,27,contoso.com,1978
309,Andres Diaz 0309,Pyme,5,empresa.com,1968
310,Camila Martinez 0310,Educacion,8,cliente.co,1967
311,Diego Torres 0311,Gobierno,25,gmail.com,1983
312,Sofia Rojas 0312,Retail,33,gmail.com,1974
313,Daniela Sanchez 0313,Retail,23,gmail.com,1987
314,Daniela Perez 0314,Pyme,23,outlook.com,1975
315,Carlos Ramirez 0315,Retail,2,contoso.com,1966
316,Ana Castro 0316,Educacion,28,contoso.com,1986
317,Pedro Castro 0317,Pyme,6,outlook.com,1979
318,Ana Torres 0318,Corporativo,23,outlook.com,1964
319,Jorge Rojas 0319,Pyme,9,contoso.com,1971
320,Ana Vargas 0320,Corporativo,17,cliente.co,2002
321,Maria Vargas 0321,Pyme,4,cliente.co,1983
322,Andres Garcia 0322,Gobierno,10,outlook.com,1999
323,Daniela Rodriguez 0323,Corporativo,16,empresa.com,1986
324,Juan Lopez 0324,Retail,21,outlook.com,1967
325,Daniela Ramirez 0325,Pyme,33,gmail.com,1995
326,Diego Garcia 0326,Pyme,33,outlook.com,1995
327,Daniela Gomez 0327,Educacion,33,cliente.co,1982
328,Andres Perez 0328,Corporativo,15,gmail.com,1983
329,Daniela Rojas 0329,Retail,31,contoso.com,1962
330,Valentina Vargas 0330,Pyme,9,gmail.com,1968
331,Jorge Gomez 0331,Pyme,10,gmail.com,1980
332,Valentina Rodriguez 0332,Gobierno,19,gmail.com,1968
333,Valentina Morales 0333,Gobierno,21,gmail.com,1960
334,Diego Morales 0334,Pyme,15,outlook.com,2000
335,Andres Perez 0335,Pyme,30,empresa.com,1964
336,Daniela Rojas 0336,Corporativo,16,cliente.co,1967
337,Juan Garcia 0337,Gobierno,28,contoso.com,1985
338,Camila Castro 0338,Retail,7,cliente.co,1979
339,Maria Rodriguez 0339,Corporativo,3,gmail.com,1975
340,Daniela Vargas 0340,Retail,6,gmail.com,1978
341,Juan Diaz 0341,Retail,25,cliente.co,2000
342,Isabella Diaz 0342,Gobierno,12,contoso.com,1989
343,Juan Martinez 0343,Corporativo,2,outlook.com,1969
344,Camila Perez 0344,Educacion,19,gmail.com,1989
345,Felipe Morales 0345,Gobierno,25,empresa.com,1976
346,Ana Gomez 0346,Corporativo,23,fabrikam.com,1978
347,Isabella Rodriguez 0347,Retail,17,cliente.co,2003
348,Felipe Ramirez 0348,Educacion,34,outlook.com,1963
349,Sofia Diaz 0349,Gobierno,7,contoso.com,1975
350,Diego Rodriguez 0350,Educacion,31,gmail.com,1985
351,Sofia Torres 0351,Gobierno,17,outlook.com,1991
352,Diego Garcia 0352,Corporativo,26,cliente.co,1967
353,Sofia Vargas 0353,Corporativo,7,fabrikam.com,1973
354,Isabella Castro 0354,Retail,16,cliente.co,1972
355,Jorge Gomez 0355,Pyme,30,fabrikam.com,1971
356,Sofia Gomez 0356,Educacion,6,outlook.com,1987
357,Maria Perez 0357,Retail,16,fabrikam.com,1984
358,Camila Ramirez 0358,Corporativo,30,fabrikam.com,1986
359,Sofia Garcia 0359,Corporativo,10,gmail.com,1977
360,Isabella Sanchez 0360,Gobierno,9,contoso.com,1969
361,Camila Martinez 0361,Corporativo,25,outlook.com,1973
362,Andres Vargas 0362,Educacion,13,fabrikam.com,1967
363,Camila Diaz 0363,Retail,28,contoso.com,1997
364,Camila Diaz 0364,Gobierno,2,contoso.com,1984
365,Maria Castro 0365,Gobierno,25,gmail.com,1964
366,Daniela Diaz 0366,Retail,1,empresa.com,1965
367,Sofia Ramirez 0367,Educacion,17,cliente.co,1985
368,Diego Vargas 0368,Gobierno,22,fabrikam.com,1993
369,Miguel Sanchez 0369,Educacion,9,fabrikam.com,1999
370,Diego Rojas 0370,Pyme,28,fabrikam.com,1963
371,Miguel Garcia 0371,Gobierno,32,gmail.com,2000
372,Daniela Rojas 0372,Pyme,14,contoso.com,1961
373,Pedro Rodriguez 0373,Pyme,14,cliente.co,2002
374,Pedro Rodriguez 0374,Pyme,22,empresa.com,1983
375,Daniela Rodriguez 0375,Educacion,32,fabrikam.com,1976
376,Juan Vargas 0376,Educacion,13,contoso.com,1971
377,Carlos Sanchez 0377,Retail,26,fabrikam.com,1997
378,Sofia Ramirez 0378,Pyme,10,cliente.co,1981
379,Pedro Rojas 0379,Gobierno,4,gmail.com,1970
380,Camila Castro 0380,Pyme,25,cliente.co,1984
381,Isabella Vargas 0381,Educacion,7,contoso.com,2000
382,Diego Vargas 0382,Retail,34,contoso.com,1977
383,Sofia Gomez 0383,Pyme,20,contoso.com,1970
384,Carlos Ramirez 0384,Retail,11,empresa.com,2003
385,Laura Rodriguez 0385,Pyme,6,gmail.com,1999
386,Juan Garcia 0386,Corporativo,13,empresa.com,1963
387,Ana Sanchez 0387,Educacion,29,cliente.co,1960
388,Diego Morales 0388,Retail,7,outlook.com,1975
389,Daniela Castro 0389,Educacion,8,outlook.com,1968
390,Jorge Vargas 0390,Educacion,7,empresa.com,1970
391,Andres Ramirez 0391,Educacion,25,gmail.com,1986
392,Pedro Gomez 0392,Corporativo,28,outlook.com,1971
393,Diego Perez 0393,Corporativo,23,gmail.com,1982
394,Isabella Ramirez 0394,Educacion,20,gmail.com,1991
395,Andres Diaz 0395,Pyme,10,cliente.co,2002
396,Valentina Morales 0396,Pyme,31,contoso.com,1981
397,Sofia Lopez 0397,Gobierno,9,gmail.com,2000
398,Carlos Rojas 0398,Educacion,24,outlook.com,1997
399,Maria Sanchez 0399,Gobierno,9,empresa.com,1978
400,Laura Martinez 0400,Corporativo,14,cliente.co,2003
401,Isabella Gomez 0401,Pyme,7,cliente.co,1986
402,Jorge Garcia 0402,Educacion,1,fabrikam.com,1987
403,Daniela Castro 0403,Pyme,24,fabrikam.com,1960
404,Miguel Perez 0404,Pyme,22,outlook.com,1970
405,Miguel Morales 0405,Educacion,21,empresa.com,1965
406,Juan Garcia 0406,Corporativo,9,contoso.com,1983
407,Felipe Vargas 0407,Educacion,33,empresa.com,1979
408,Jorge Gomez 0408,Gobierno,31,outlook.com,1982
409,Jorge Sanchez 0409,Educacion,19,outlook.com,2000
410,Diego Sanchez 0410,Pyme,27,gmail.com,1986
411,Laura Ramirez 0411,Pyme,24,gmail.com,1965
412,Diego Rodriguez 0412,Gobierno,34,empresa.com,1970
413,Camila Castro 0413,Corporativo,26,gmail.com,1966
414,Jorge Castro 0414,Pyme,28,outlook.com,1963
415,Camila Rojas 0415,Educacion,21,empresa.com,1960
416,Carlos Ramirez 0416,Gobierno,15,gmail.com,1999
417,Sofia Ramirez 0417,Gobierno,25,cliente.co,1963
418,Juan Castro 0418,Pyme,19,empresa.com,1970
419,Felipe Lopez 0419,Gobierno,19,fabrikam.com,1985
420,Daniela Rojas 0420,Educacion,9,fabrikam.com,1980
421,Laura Castro 0421,Retail,28,cliente.co,1975
422,Daniela Morales 0422,Retail,34,contoso.com,1967
423,Pedro Diaz 0423,Retail,6,contoso.com,1976
424,Sofia Rodriguez 0424,Gobierno,8,cliente.co,1972
425,Camila Castro 0425,Gobierno,29,cliente.co,1984
426,Sofia Diaz 0426,Educacion,34,gmail.com,1984
427,Camila Ramirez 0427,Gobierno,21,gmail.com,1978
428,Pedro Lopez 0428,Retail,3,fabrikam.com,1996
429,Camila Rodriguez 0429,Pyme,12,cliente.co,1985
430,Isabella Morales 0430,Gobierno,19,outlook.com,1977
431,Maria Diaz 0431,Retail,6,gmail.com,1960
432,Laura Ramirez 0432,Corporativo,29,outlook.com,1995
433,Felipe Morales 0433,Corporativo,16,contoso.com,1970
434,Camila Rojas 0434,Educacion,20,outlook.com,1995
435,Daniela Torres 0435,Corporativo,4,gmail.com,1996
436,Juan Lopez 0436,Gobierno,25,fabrikam.com,1988
437,Daniela Lopez 0437,Gobierno,32,gmail.com,2002
438,Ana Vargas 0438,Pyme,30,contoso.com,1969
439,Miguel Rojas 0439,Retail,22,cliente.co,1985
440,Maria Torres 0440,Educacion,1,fabrikam.com,1998
441,Camila Garcia 0441,Educacion,18,contoso.com,1994
442,Isabella Castro 0442,Pyme,14,fabrikam.com,1993
443,Ana Martinez 0443,Corporativo,1,fabrikam.com,1990
444,Isabella Sanchez 0444,Educacion,22,outlook.com,1967
445,Pedro Castro 0445,Corporativo,17,cliente.co,1962
446,Diego Perez 0446,Corporativo,2,empresa.com,1981
447,Andres Vargas 0447,Pyme,21,contoso.com,1963
448,Laura Gomez 0448,Gobierno,13,gmail.com,1976
449,Ana Sanchez 0449,Pyme,3,contoso.com,1986
450,Miguel Rojas 0450,Corporativo,22,cliente.co,1978
451,Camila Gomez 0451,Pyme,12,fabrikam.com,1971
452,Isabella Sanchez 0452,Gobierno,11,outlook.com,1967
453,Pedro Castro 0453,Corporativo,11,contoso.com,1989
454,Jorge Vargas 0454,Educacion,15,gmail.com,1971
455,Pedro Lopez 0455,Educacion,25,cliente.co,1995
456,Jorge Garcia 0456,Pyme,29,contoso.com,1983
457,Laura Morales 0457,Retail,17,outlook.com,1984
458,Felipe Vargas 0458,Retail,32,fabrikam.com,1986
459,Valentina Lopez 0459,Pyme,21,fabrikam.com,1989
460,Juan Sanchez 0460,Pyme,31,fabrikam.com,1999
461,Sofia Ramirez 0461,Educacion,24,fabrikam.com,1970
